12630:	   Output Transition Time: 0
12641:	   Output Transition Time: 0
12655:	   Output Transition Time: 0
12666:	   Output Transition Time: 0
12677:	   Output Transition Time: 0
12688:	   Output Transition Time: 0
12698:	   Output Transition Time: 0
12709:	   Output Transition Time: 0
12720:	   Output Transition Time: 0
12745:	   Output Transition Time: 0
12756:	   Output Transition Time: 0
12777:	   Output Transition Time: 0
1279: 	   Output Transition Time: 0
127:  	   Output Transition Time: 0
12835:	   Output Transition Time: 0
12892:	   Output Transition Time: 0
1290: 	   Output Transition Time: 0
12914:	   Output Transition Time: 0
12925:	   Output Transition Time: 0
12946:	   Output Transition Time: 0
12957:	   Output Transition Time: 0
12971:	   Output Transition Time: 0
12982:	   Output Transition Time: 0
13014:	   Output Transition Time: 0
13025:	   Output Transition Time: 0
13036:	   Output Transition Time: 0
13050:	   Output Transition Time: 0
13072:	   Output Transition Time: 0
13083:	   Output Transition Time: 0
13115:	   Output Transition Time: 0
13129:	   Output Transition Time: 0
13140:	   Output Transition Time: 0
13172:	   Output Transition Time: 0
13183:	   Output Transition Time: 0
13194:	   Output Transition Time: 0
13208:	   Output Transition Time: 0
13219:	   Output Transition Time: 0
1322: 	   Output Transition Time: 0
13230:	   Output Transition Time: 0
13241:	   Output Transition Time: 0
13251:	   Output Transition Time: 0
13262:	   Output Transition Time: 0
13273:	   Output Transition Time: 0
13287:	   Output Transition Time: 0
13298:	   Output Transition Time: 0
13309:	   Output Transition Time: 0
13320:	   Output Transition Time: 0
13330:	   Output Transition Time: 0
13377:	   Output Transition Time: 0
13388:	   Output Transition Time: 0
13399:	   Output Transition Time: 0
13409:	   Output Transition Time: 0
13420:	   Output Transition Time: 0
13431:	   Output Transition Time: 0
13478:	   Output Transition Time: 0
13499:	   Output Transition Time: 0
13535:	   Output Transition Time: 0
13546:	   Output Transition Time: 0
13567:	   Output Transition Time: 0
13589:	   Output Transition Time: 0
1358: 	   Output Transition Time: 0
13625:	   Output Transition Time: 0
13657:	   Output Transition Time: 0
13682:	   Output Transition Time: 0
13693:	   Output Transition Time: 0
1369: 	   Output Transition Time: 0
13704:	   Output Transition Time: 0
13715:	   Output Transition Time: 0
13725:	   Output Transition Time: 0
13736:	   Output Transition Time: 0
13747:	   Output Transition Time: 0
13761:	   Output Transition Time: 0
13772:	   Output Transition Time: 0
13783:	   Output Transition Time: 0
13794:	   Output Transition Time: 0
137:  	   Output Transition Time: 0
13804:	   Output Transition Time: 0
1380: 	   Output Transition Time: 0
13815:	   Output Transition Time: 0
13826:	   Output Transition Time: 0
13840:	   Output Transition Time: 0
13851:	   Output Transition Time: 0
13883:	   Output Transition Time: 0
13894:	   Output Transition Time: 0
13905:	   Output Transition Time: 0
1391: 	   Output Transition Time: 0
13941:	   Output Transition Time: 0
13973:	   Output Transition Time: 0
14009:	   Output Transition Time: 0
1401: 	   Output Transition Time: 0
14020:	   Output Transition Time: 0
14041:	   Output Transition Time: 0
14052:	   Output Transition Time: 0
14063:	   Output Transition Time: 0
14077:	   Output Transition Time: 0
14088:	   Output Transition Time: 0
14120:	   Output Transition Time: 0
1412: 	   Output Transition Time: 0
14131:	   Output Transition Time: 0
14142:	   Output Transition Time: 0
14156:	   Output Transition Time: 0
14210:	   Output Transition Time: 0
1423: 	   Output Transition Time: 0
14257:	   Output Transition Time: 0
14289:	   Output Transition Time: 0
14314:	   Output Transition Time: 0
14325:	   Output Transition Time: 0
14336:	   Output Transition Time: 0
14347:	   Output Transition Time: 0
14357:	   Output Transition Time: 0
14368:	   Output Transition Time: 0
14379:	   Output Transition Time: 0
1437: 	   Output Transition Time: 0
14393:	   Output Transition Time: 0
14404:	   Output Transition Time: 0
14436:	   Output Transition Time: 0
14483:	   Output Transition Time: 0
1448: 	   Output Transition Time: 0
14494:	   Output Transition Time: 0
14515:	   Output Transition Time: 0
14526:	   Output Transition Time: 0
14537:	   Output Transition Time: 0
1459: 	   Output Transition Time: 0
14605:	   Output Transition Time: 0
14630:	   Output Transition Time: 0
14652:	   Output Transition Time: 0
14663:	   Output Transition Time: 0
14695:	   Output Transition Time: 0
14709:	   Output Transition Time: 0
